ID_Prestamo_Unico;ID_Cliente;Fecha_Originacion;Monto_Prestamo_USD;Saldo_Actual_Prestamo_USD;Total_Pagado_Capital_USD;Monto_Mora_Sin_Cargos_USD;Cuotas_Mora;Dias_Mora_DPD;Estado_Orden;Fecha_Vencimiento_1ra_Cuota;Monto_1ra_Cuota_USD;FPD;Score_Crediticio_Usuario;Tipo_Producto_Vertical
14922529;5623156;01/02/2025;12.8;0.0;12.8;0.0;0;;CLOSED;15/02/2025;4.27;No;244.0;Moda
11144126;7592122;12/12/2024;28.79;0.0;28.79;0.0;0;;CLOSED;26/12/2024;9.6;No;448.0;Hogar
15557781;4790544;12/02/2025;9.24;0.0;9.24;0.0;0;;CLOSED;26/02/2025;9.24;No;381.0;Restaurantes
13561436;4278013;04/01/2025;32.4;0.0;32.4;0.0;0;;CLOSED;18/01/2025;10.8;No;427.0;Moda
15935631;4059447;17/02/2025;17.39;0.0;17.39;0.0;0;;CLOSED;03/03/2025;17.39;No;432.0;Supermercados
14019494;1753208;15/01/2025;203.0;0.0;203.0;0.0;0;;CLOSED;29/01/2025;67.67;No;415.0;Hogar
18261512;1471616;25/03/2025;13.5;13.5;0.0;0.0;0;;IN_PROGRESS;08/04/2025;4.5;No;415.0;Farmacias
10450125;4780748;01/12/2024;18.25;0.0;18.25;0.0;0;;CLOSED;15/12/2024;18.25;No;450.0;Supermercados
8753048;2484374;03/11/2024;47.66;0.0;47.66;0.0;0;;CLOSED;17/11/2024;47.66;No;444.0;Supermercados
13163854;6966657;30/12/2024;10.4;0.0;10.4;0.0;0;;CLOSED;13/01/2025;3.47;No;311.0;Hogar
8659227;3560478;02/11/2024;15.2;0.0;15.2;0.0;0;;CLOSED;16/11/2024;5.07;No;487.0;Moda
9702109;8552571;22/11/2024;43.26;0.0;43.26;0.0;0;;CLOSED;06/12/2024;14.42;No;7.0;Hogar
11011125;2143879;10/12/2024;12.8;0.0;12.8;0.0;0;;CLOSED;24/12/2024;4.27;No;481.0;Hogar
17203678;6358633;09/03/2025;12.13;0.0;12.13;0.0;0;;CLOSED;23/03/2025;12.13;No;415.0;Restaurantes
8728418;9233158;03/11/2024;22.98;0.0;22.98;0.0;0;;CLOSED;17/11/2024;22.98;No;477.0;Farmacias
15937797;5452860;17/02/2025;69.52;0.0;69.52;0.0;0;;CLOSED;03/03/2025;69.52;No;12.0;Supermercados
15214793;9807274;06/02/2025;799.2;0.0;199.8;0.0;0;;IN_PROGRESS;20/02/2025;66.6;No;466.0;Tecnología
9602910;9423009;20/11/2024;20.4;0.0;20.4;0.0;0;;CLOSED;04/12/2024;6.8;No;431.0;Herramientas
8926233;2373224;07/11/2024;50.07;0.0;50.07;0.0;0;;CLOSED;21/11/2024;16.69;No;514.0;Hogar
8600122;4668700;01/11/2024;13.96;0.0;13.96;0.0;0;;CLOSED;15/11/2024;4.65;No;410.0;Moda
9216341;3623141;13/11/2024;11.2;0.0;11.2;0.0;0;;CLOSED;27/11/2024;3.73;No;242.0;Deporte
12798043;9707951;26/12/2024;30.23;0.0;30.23;0.0;0;;CLOSED;09/01/2025;10.08;No;22.0;Hogar
14927384;2152011;01/02/2025;24.01;0.0;24.01;0.0;0;;CLOSED;15/02/2025;8.0;No;490.0;Moda
18160135;6904716;23/03/2025;16.59;16.59;0.0;0.0;0;;IN_PROGRESS;06/04/2025;5.53;No;517.0;Hogar
14661828;4833660;27/01/2025;12.5;0.0;12.5;0.0;0;;CLOSED;10/02/2025;4.17;No;355.0;Servicios
15148457;3724311;04/02/2025;74.49;0.0;74.49;0.0;0;;CLOSED;18/02/2025;74.49;No;401.0;Supermercados
14681259;8067620;27/01/2025;27.51;0.0;27.51;0.0;0;;CLOSED;10/02/2025;27.51;No;382.0;Farmacias
11608943;7256800;16/12/2024;31.07;0.0;31.07;0.0;0;;CLOSED;30/12/2024;31.07;No;488.0;Supermercados
15446755;5044794;10/02/2025;19.24;0.0;19.24;0.0;0;;CLOSED;24/02/2025;19.24;No;411.0;Supermercados
13609130;8887700;05/01/2025;18.18;0.0;18.18;0.0;0;;CLOSED;19/01/2025;18.18;No;352.0;Supermercados
14929835;1282606;01/02/2025;35.4;0.0;35.4;0.0;0;;CLOSED;15/02/2025;11.8;No;488.0;Moda
14016375;8212644;15/01/2025;36.67;0.0;36.67;0.0;0;;CLOSED;29/01/2025;12.22;No;264.0;Hogar
16667602;7268202;01/03/2025;43.64;29.09;14.55;14.55;1;3.0;DELAYED;15/03/2025;14.55;No;341.0;Tecnología
9717025;8960137;22/11/2024;36.0;0.0;36.0;0.0;0;;CLOSED;06/12/2024;12.0;No;354.0;Hogar
12531932;6326989;23/12/2024;59.99;0.0;59.98;0.0;0;;CLOSED;06/01/2025;20.0;No;375.0;Moda
17950954;6971692;20/03/2025;43.95;0.0;43.95;0.0;0;;CLOSED;03/04/2025;43.95;No;405.0;Supermercados
12173097;7447264;21/12/2024;13.16;0.0;13.16;0.0;0;;CLOSED;04/01/2025;4.39;No;472.0;Moda
8658578;2630340;02/11/2024;10.38;0.0;10.37;0.0;0;;CLOSED;16/11/2024;10.38;No;404.0;Farmacias
10283393;4423554;30/11/2024;20.0;0.0;20.0;0.0;0;;CLOSED;14/12/2024;6.67;No;479.0;Moda
15887228;7857765;16/02/2025;20.0;0.0;20.0;0.0;0;;CLOSED;02/03/2025;6.67;No;350.0;Moda
13201527;9519656;30/12/2024;37.12;0.0;37.12;0.0;0;;CLOSED;13/01/2025;12.37;No;366.0;Moda
